ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|28|8944098|2
2025|A2|12345|1|1|1|157|157|28|9506009|3
2025|A2|12345|1|1|5|157|157|19|6211023|2
2025|A2|12345|1|1|5|157|157|19|8944098|2
2025|A2|12345|1|3|1|252|252|19|8400004|2
2025|A2|12345|1|3|1|252|252|19|8944098|1
2025|A2|12345|1|3|1|58|58|19|9999999|1
2025|A2|12345|1|3|1|67|67|19|0|1
2025|A2|12345|1|5|1|157|157|19|2025014|2
2025|A2|12345|1|5|1|157|157|19|2093011|3
2025|A2|12345|1|5|1|157|157|19|2400000|2
2025|A2|12345|1|5|1|157|157|19|3229045|2
2025|A2|12345|1|5|1|157|157|19|3516054|1
2025|A2|12345|1|5|1|157|157|19|3699024|3
2025|A2|12345|1|5|1|157|157|19|3932010|3
2025|A2|12345|1|5|1|157|157|19|6131023|4
2025|A2|12345|1|5|1|157|157|19|6132013|2
2025|A2|12345|1|5|1|157|157|19|6135017|2
2025|A2|12345|1|5|1|157|157|19|6211023|2
2025|A2|12345|1|5|1|157|157|19|6212013|3
2025|A2|12345|1|5|1|157|157|19|6225024|2
2025|A2|12345|1|5|1|157|157|19|6719019|2
